borough,neighbourhood,lat,long
Queens,St. Albans,40.70554,-73.76637
Queens,Rego Park,40.73349,-73.86009
Queens,Woodside,40.74409,-73.91122
Queens,Briarwood,40.71151,-73.81561
Queens,Ozone Park,40.68581,-73.84642
Queens,Jackson Heights,40.75193,-73.87873
Queens,Jamaica,40.67747,-73.76493
Queens,East Elmhurst,40.75541,-73.89239
Queens,Flushing,40.75578,-73.81948
Queens,Arverne,40.59783,-73.80158
Queens,Elmhurst,40.73587,-73.88279
Queens,Bayside,40.75666,-73.76314
Queens,Kew Gardens,40.70947,-73.82922
Queens,College Point,40.78417,-73.83875
Queens,Glendale,40.70538,-73.89448
Queens,Richmond Hill,40.69414,-73.82538
Queens,Maspeth,40.73732,-73.90168
Queens,Woodhaven,40.68968,-73.85219
Queens,Forest Hills,40.71697,-73.83396
Queens,Middle Village,40.71576,-73.86268
Queens,Kew Gardens Hills,40.72664,-73.82795
Queens,Bay Terrace,40.78645,-73.77958
Queens,Whitestone,40.79721,-73.816
Queens,Bayswater,40.60549,-73.75547
Queens,Springfield Gardens,40.67425,-73.75796
Queens,Howard Beach,40.65443,-73.84605
Queens,Belle Harbor,40.57321,-73.85769
Queens,Bellerose,40.72401,-73.72901
Queens,Fresh Meadows,40.7312,-73.78579
Queens,Far Rockaway,40.59642,-73.75606
Queens,South Ozone Park,40.66788,-73.82419
Queens,Corona,40.73886,-73.85147
Queens,Jamaica Estates,40.72362,-73.791
Queens,Neponsit,40.57215,-73.85822
Queens,Laurelton,40.67168,-73.74744
Queens,Rosedale,40.67836,-73.729
Queens,Edgemere,40.59606,-73.77882
Queens,Cambria Heights,40.68891,-73.73531
Queens,Holliswood,40.72468,-73.76681
Queens,Jamaica Hills,40.71245,-73.79806
Queens,Douglaston,40.76978,-73.73915
Queens,Little Neck,40.75794,-73.72956
Queens,Hollis,40.71455,-73.7613
Queens,Breezy Point,40.56605,-73.86994
Queens,Glen Oaks,40.74791,-73.70522
Bronx,Highbridge,40.83232,-73.93184
Bronx,Kingsbridge,40.87207,-73.90193
Bronx,Woodlawn,40.89747,-73.8639
Bronx,Concourse Village,40.82802,-73.92039
Bronx,Concourse,40.83001,-73.92158
Bronx,Wakefield,40.89557,-73.8447
Bronx,Spuyten Duyvil,40.87991,-73.91673
Bronx,Mott Haven,40.81128,-73.92399
Bronx,Longwood,40.81611,-73.89909
Bronx,Allerton,40.8687,-73.8524
Bronx,Morris Heights,40.84937,-73.91328
Bronx,Port Morris,40.80461,-73.92276
Bronx,Fieldston,40.88757,-73.90522
Bronx,Mount Eden,40.84058,-73.91382
Bronx,City Island,40.85235,-73.78873
Bronx,Williamsbridge,40.88296,-73.86264
Bronx,Soundview,40.82138,-73.87603
Bronx,Co-op City,40.86317,-73.82494
Bronx,Parkchester,40.83645,-73.86634
Bronx,North Riverdale,40.90804,-73.90005
Bronx,Bronxdale,40.85667,-73.86543
Bronx,Riverdale,40.88579,-73.91599
Bronx,Norwood,40.87605,-73.88047
Bronx,Claremont Village,40.84192,-73.91108
Bronx,Fordham,40.86705,-73.88545
Bronx,University Heights,40.85711,-73.91594
Bronx,Mount Hope,40.84611,-73.91036
Bronx,Clason Point,40.81192,-73.85334
Bronx,Eastchester,40.8806,-73.83433
Bronx,Van Nest,40.8423,-73.87055
Bronx,Morris Park,40.85465,-73.85669
Bronx,Tremont,40.83875,-73.88728
Bronx,East Morrisania,40.82873,-73.89553
Bronx,Hunts Point,40.81335,-73.8873
Bronx,Pelham Bay,40.84423,-73.83602
Bronx,Throgs Neck,40.81476,-73.80001
Bronx,West Farms,40.84328,-73.88173
Bronx,Pelham Gardens,40.86617,-73.848
Bronx,Baychester,40.87223,-73.84335
Bronx,Melrose,40.8183,-73.91938
Bronx,Schuylerville,40.8355,-73.83729
Bronx,Castle Hill,40.82286,-73.84765
Bronx,Edenwald,40.88534,-73.83434
Bronx,Belmont,40.85311,-73.88763
Bronx,Morrisania,40.8329,-73.89608
Bronx,Westchester Square,40.83758,-73.84382
Bronx,Unionport,40.83121,-73.8483
Bronx,Olinville,40.88455,-73.86587
